bin,n,favorite_roi,underdog_roi
0,0,,
1,36,3.692,-16.167
2,574,-2.940,-6.495
3,3120,-6.031,-1.874
4,6665,-2.244,-6.223
5,6776,-2.476,-6.495
6,3084,-2.723,-7.229
7,583,-4.421,-2.314
8,30,-3.500,0.900
9,0,,
