bin,n,favorite_roi,underdog_roi
0,0,,
1,145,-5.680,0.069
2,754,-1.879,-6.057
3,1640,-6.850,-0.953
4,2348,0.334,-8.002
5,2407,-4.530,-2.762
6,1638,-5.120,-1.675
7,727,0.892,-17.014
8,119,-9.122,6.420
9,3,-58.009,168.333
