bin,n,favorite_roi,underdog_roi
0,172,-0.7539,4.2353
1,765,-4.6455,-5.3317
2,1166,-3.6302,-10.403
3,1356,-5.0374,-5.0842
4,1524,-1.7511,-8.7028
5,1486,-6.9761,-0.7503
6,1345,-5.2304,-4.6531
7,1091,-3.0428,-12.2551
8,694,-3.6427,-13.4302
9,164,-2.9927,-26.1037
