bin,n,favorite_roi,underdog_roi
0,172,-0.754,4.235
1,765,-4.646,-5.332
2,1166,-3.630,-10.403
3,1356,-5.037,-5.084
4,1524,-1.751,-8.703
5,1486,-6.976,-0.750
6,1345,-5.230,-4.653
7,1091,-3.043,-12.255
8,694,-3.643,-13.430
9,164,-2.993,-26.104
