bin,n,favorite_roi,underdog_roi
0,0,,
1,41,-0.0466,-17.9512
2,554,-1.7668,-9.935
3,2935,-6.5003,-3.5254
4,6089,-4.564,-6.614
5,6271,-4.1345,-7.0394
6,2814,-4.0325,-7.9702
7,567,-5.781,-3.599
8,30,-5.4191,-1.0667
9,0,,
