bin,n,favorite_roi,underdog_roi
0,237,-4.502,-9.418
1,228,-3.186,-14.039
2,201,-3.916,-12.702
3,207,-1.389,-14.020
4,194,-3.140,-5.774
5,211,-13.314,2.921
6,199,-7.893,-2.008
7,210,-3.917,-13.045
8,222,-1.379,-16.106
9,215,-2.252,-17.045
