bin,n,favorite_roi,underdog_roi
0,253,-4.768,-8.112
1,229,-3.5976,-13.5061
2,205,-2.4061,-12.477
3,214,-1.3117,-13.8858
4,198,-5.0939,-4.2185
5,220,-13.464,5.3273
6,207,-9.9198,0.95
7,214,-5.0573,-11.8518
8,227,-0.5766,-17.9627
9,224,-1.7887,-18.043
