bin,n,favorite_roi,underdog_roi
0,0,,
1,145,-5.6801,0.069
2,754,-1.8787,-6.057
3,1640,-6.8501,-0.9531
4,2348,0.3342,-8.0021
5,2407,-4.5299,-2.7622
6,1638,-5.1205,-1.6755
7,727,0.8917,-17.0138
8,119,-9.1219,6.4202
9,3,-58.0087,168.3333
