season,n,favorite_roi,underdog_roi
2009,27,-3.1918212646175705,-6.966899861910081
2010,67,6.374320231602806,-23.15631103347338
2011,89,0.8312264442609059,-23.296728161190252
2012,60,-7.955242346075216,8.584066527513531
2013,82,-15.319801546793277,11.021664782727344
2014,80,-1.29585973193891,-8.43155847149426
2015,79,-18.06801300654664,2.0064631978671215
2016,60,-6.962889420578974,-0.883128079873694
2017,60,-14.672170251372856,16.692616190644188
2018,85,-0.4608451731538821,-15.663880695577683
2019,85,-0.27717597689388157,-4.687321308707686
2020,64,11.286232776895213,-16.626846295745278
2021,71,2.2045090962583296,-15.929606783363687
2022,74,7.044942690836706,-30.339653730641704
2023,61,-7.25106422395978,-9.53422064120951
2024,58,3.9883688902019765,-31.30237106720794
2025,66,-6.683934488135858,-6.797554183003098
