season,n,favorite_roi,underdog_roi
2008,169,6.732145021211837,-27.557089433230242
2009,206,-10.889433876083686,3.7011266298057803
2010,185,-0.09586030563409775,-12.191008934128202
2011,191,2.1121381415423977,-14.721349796008656
2012,190,-4.135269292083808,-7.598754334909942
2013,222,-5.936778829185567,-2.1203724733136493
2014,134,-3.7697662217912273,-8.512769792133842
2015,127,7.79104533387912,-17.454660328319473
2016,216,-3.516555308010337,-5.224608243503127
2017,156,-7.352096416910486,5.86167940155009
2018,204,-0.7026285185462252,-10.376287861581979
2019,166,3.107474312875257,-19.499073215940683
2020,80,1.2080882853755517,-10.801759408673975
2021,196,-4.9359358522478765,-1.3487132133921127
2022,232,-0.012688865992785046,-9.831233421750664
2023,158,-3.1947120106315037,-7.802105878527706
2024,128,-10.375281894412748,9.28155637254902
2025,124,-14.668594659603478,7.758109987221806
