season,n,favorite_roi,underdog_roi
2009,3,-25.664699323073563,83.33333333333334
2010,8,14.129564562231367,-100.0
2011,15,-0.0683826366508596,-14.333333333333329
2012,11,-4.7258514091529005,-0.909090909090906
2013,11,-5.7295145297237715,13.363636363636362
2014,22,-6.452206696855743,4.22727272727273
2015,22,-0.08988010623651531,-27.136363636363637
2016,28,-5.7113616358638275,3.6785714285714297
2017,16,-12.814358386940611,51.0
2018,17,7.000343193687626,-68.58823529411765
2019,23,-10.783027986567992,34.56521739130435
2020,19,-4.421493161887383,-14.473684210526317
2021,30,-9.065777837559246,20.200000000000003
2022,28,5.966199236197712,-48.035714285714285
2023,27,-7.221694757104095,14.333333333333334
2024,60,-10.898991217798347,31.316666666666666
2025,45,9.890083994541726,-84.93333333333332
