season,favorite_roi,underdog_roi
2009,-0.00605651747238065,-0.17670588235294118
2010,-0.03364126657232409,-0.06940594059405941
2011,0.052817841835926506,-0.3190134529147982
2012,-0.005612318943429617,-0.15757575757575756
2013,-0.03118909777330459,-0.04152542372881356
2014,-0.03852913998578023,-0.040485436893203886
2015,-0.0629962655551423,0.03352631578947368
2016,-0.022111479842055724,-0.10054347826086957
2017,-0.07134226391536135,0.025775401069518717
2018,-0.026188961308613444,-0.04972222222222223
2019,0.009369219413675961,-0.1798224852071006
2020,-0.04388439150145456,-0.030062111801242245
2021,-0.09299261228215727,0.10655629139072847
2022,-0.11609852816217182,0.17780748663101603
2023,-0.01757071245690025,-0.09678048780487805
2024,-0.04893232347172735,-0.012971428571428566
2025,-0.006879420068048349,-0.12629834254143646
