season,favorite_roi,underdog_roi
2009,0.11410156487873686,-0.4591176470588235
2010,-0.08145819861852119,0.07960526315789473
2011,0.12424528002315324,-0.485593220338983
2012,0.04640884469040941,-0.30129032258064514
2013,-0.06418509179573227,-0.020645161290322584
2014,0.03806888652164675,-0.26822580645161287
2015,-0.015168051338886651,-0.1
2016,0.007873153442588033,-0.22364705882352942
2017,-0.04173809903067497,-0.06309859154929576
2018,-0.05569882676110288,-0.033999999999999996
2019,-0.05856541149778888,-0.0020879120879120825
2020,0.08899581176826336,-0.40707317073170735
2021,-0.11893537720395687,0.14956989247311828
2022,-0.019513445841839106,-0.09319999999999999
2023,-0.06422847513279403,0.07690140845070424
2024,0.09924564168118145,-0.4393333333333333
2025,-0.12317711602804311,0.23153846153846155
