season,favorite_roi,underdog_roi
2009,-0.02571910582531813,-0.11607142857142858
2010,-0.022086207496027032,-0.234375
2011,-0.060194845484749196,0.12673076923076923
2012,-0.039463755824503476,-0.07297297297297295
2013,-0.01760323900423154,-0.289
2014,-0.026043478523017267,-0.2541666666666667
2015,0.004496500889813045,-0.6086666666666667
2016,-0.017503207504348705,-0.31666666666666665
2017,-0.016366962573007012,-0.4274545454545454
2018,-0.05433893173377321,0.04799999999999998
2019,-0.033080960696318815,-0.06961538461538463
2020,-0.09266986602679464,0.8533333333333333
2021,0.04999500099980004,-1.0
2022,-0.05400464902519046,0.07000000000000002
2023,-0.18000733140052652,1.5133333333333332
2024,0.010826335032918443,-0.5741666666666666
2025,0.0034742182389648187,-0.542608695652174
