season,n,favorite_roi,underdog_roi
2009,39,5.485280671158442,-23.692307692307693
2010,103,-7.6502447853066595,6.2135922330097095
2011,94,-1.8038491031164197,-10.489361702127658
2012,88,-10.925913941633603,5.954545454545455
2013,115,3.0763280164483477,-18.478260869565215
2014,95,-11.954608767795262,8.084210526315788
2015,90,6.740614484285433,-21.88888888888889
2016,107,5.457097960684573,-24.82242990654206
2017,125,-6.808366779153273,1.0240000000000005
2018,111,-0.26493676945217165,-12.09009009009009
2019,97,3.0750539736849354,-19.61855670103093
2020,84,-10.23461041274695,8.69047619047619
2021,86,4.180324966341923,-17.081395348837212
2022,114,2.5685110606653248,-14.657894736842106
2023,123,-7.0103111600676895,2.2764227642276422
2024,89,-15.759707302067612,17.786516853932586
2025,92,-8.94301396896568,5.978260869565219
