season,favorite_roi,underdog_roi
2009,-0.0013927233657188075,-0.0842857142857143
2010,0.04868942953263684,-0.21952380952380954
2011,-0.01526679114444402,-0.09901515151515151
2012,-0.02175174587837046,-0.08323809523809524
2013,-0.062261624571232986,-0.03473282442748092
2014,-0.08912580683979196,0.06312056737588652
2015,0.0072092713269132,-0.13727272727272727
2016,-0.09160913013823212,0.05168141592920353
2017,-0.1113126892638944,0.07034782608695651
2018,0.022771442545580115,-0.13692857142857143
2019,-0.10663261414202813,0.064609375
2020,-0.0896005865209746,0.034724409448818896
2021,-0.10757729427657026,0.10021428571428573
2022,0.07196967729332114,-0.234375
2023,-0.14224244972652178,0.155472972972973
2024,0.05231444887656927,-0.2104724409448819
2025,-0.0366932306555263,-0.06023121387283238
