season,n,favorite_roi,underdog_roi
2009,14,19.452335672749495,-53.57142857142857
2010,45,-17.802476899099528,13.355555555555554
2011,23,-1.92253307515491,-17.304347826086957
2012,25,-0.9320155233557957,-16.0
2013,34,-12.363593702446147,-1.3061447348531252e-15
2014,48,-11.15143777622559,6.5
2015,55,3.306104325000392,-22.236363636363638
2016,15,27.125905729803367,-61.66666666666667
2017,42,-7.289101260890791,-9.904761904761905
2018,47,4.758581529150029,-26.127659574468083
2019,29,-0.9812788660800712,-16.75862068965517
2020,27,-13.726023064765972,6.074074074074074
2021,63,11.813340835748491,-42.952380952380956
2022,85,1.3291488713821664,-14.341176470588238
2023,57,-3.2708871297329662,-11.807017543859647
2024,47,0.031624952519546765,-20.808510638297868
2025,45,-7.082387077065618,-7.022222222222223
