season,n,favorite_roi,underdog_roi
2009,16,-1.6515553666218528,-14.117440041710116
2010,47,-18.638488920828706,14.175815242420239
2011,24,4.791774695083961,-29.96212121212121
2012,26,-26.160836537259062,19.2016317016317
2013,28,1.8047191630544757,-7.317353787152444
2014,54,8.137334299246286,-18.752535273368608
2015,55,-1.820231720802525,-14.846055683107826
2016,18,2.105516009502941,-12.500451391674275
2017,43,-6.741846519811107,0.1672671307383074
2018,50,-0.7000887343409554,-10.871934470874265
2019,36,-16.170623979168763,16.545172389943634
2020,28,-22.9031469965461,27.035714285714285
2021,61,-2.8971521278152186,-1.1786886708165718
2022,82,-1.192105277366628,-10.317073170731708
2023,60,9.741812115712428,-21.883333333333336
2024,40,6.6406971286530405,-25.5
2025,50,-5.531394365525134,-7.499651309042108
