date,season_type,neutral,team_1,team_2,points_1,points_2,moneyline_1,moneyline_2,game_url
17 Jun 2025,Play Offs,0,Florida Panthers,Edmonton Oilers,5,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-edmonton-oilers-SjSO2Qy9/
14 Jun 2025,Play Offs,0,Edmonton Oilers,Florida Panthers,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-florida-panthers-EBA5b2BC/
12 Jun 2025,Play Offs,0,Florida Panthers,Edmonton Oilers,4,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-edmonton-oilers-U5oHm7rB/
09 Jun 2025,Play Offs,0,Florida Panthers,Edmonton Oilers,6,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-edmonton-oilers-rkm9kTDb/
06 Jun 2025,Play Offs,0,Edmonton Oilers,Florida Panthers,4,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-florida-panthers-MZb0ikqn/
04 Jun 2025,Play Offs,0,Edmonton Oilers,Florida Panthers,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-florida-panthers-WAJjXobU/
29 May 2025,Play Offs,0,Dallas Stars,Edmonton Oilers,3,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-edmonton-oilers-4EnWqR46/
28 May 2025,Play Offs,0,Carolina Hurricanes,Florida Panthers,3,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-florida-panthers-OnibWz6e/
27 May 2025,Play Offs,0,Edmonton Oilers,Dallas Stars,4,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-dallas-stars-IVwjqDFM/
26 May 2025,Play Offs,0,Florida Panthers,Carolina Hurricanes,0,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-carolina-hurricanes-lUdsYJE5/
25 May 2025,Play Offs,0,Edmonton Oilers,Dallas Stars,6,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-dallas-stars-pIuroZpA/
24 May 2025,Play Offs,0,Florida Panthers,Carolina Hurricanes,6,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-carolina-hurricanes-t4gZZupg/
23 May 2025,Play Offs,0,Dallas Stars,Edmonton Oilers,0,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-edmonton-oilers-jJnZneGc/
22 May 2025,Play Offs,0,Carolina Hurricanes,Florida Panthers,0,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-florida-panthers-Kl5Qy2Ft/
21 May 2025,Play Offs,0,Dallas Stars,Edmonton Oilers,6,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-edmonton-oilers-OCfmPiOj/
20 May 2025,Play Offs,0,Carolina Hurricanes,Florida Panthers,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-florida-panthers-UPPGHbUO/
18 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,1,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-x6VpI7J7/
17 May 2025,Play Offs,0,Dallas Stars,Winnipeg Jets,2,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-xWxJauME/
16 May 2025,Play Offs,0,Florida Panthers,Toronto Maple Leafs,0,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-pW8Y2a4U/
15 May 2025,Play Offs,0,Winnipeg Jets,Dallas Stars,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-dallas-stars-jqnsM2cm/
15 May 2025,Play Offs,0,Washington Capitals,Carolina Hurricanes,1,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-vBorB2NP/
14 May 2025,Play Offs,0,Vegas Golden Knights,Edmonton Oilers,0,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-MV6gTwqm/
14 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,1,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-rwPF5sD6/
13 May 2025,Play Offs,0,Dallas Stars,Winnipeg Jets,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-CdPFUeog/
12 May 2025,Play Offs,0,Edmonton Oilers,Vegas Golden Knights,3,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-vegas-golden-knights-pp4aoq9c/
12 May 2025,Play Offs,0,Carolina Hurricanes,Washington Capitals,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-washington-capitals-bgVtT1gT/
11 May 2025,Play Offs,0,Florida Panthers,Toronto Maple Leafs,2,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-WtvQWqf4/
11 May 2025,Play Offs,0,Dallas Stars,Winnipeg Jets,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-hf9EWHGt/
10 May 2025,Play Offs,0,Edmonton Oilers,Vegas Golden Knights,3,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-vegas-golden-knights-UyMCNuHj/
10 May 2025,Play Offs,0,Carolina Hurricanes,Washington Capitals,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-washington-capitals-xvsYUNOG/
09 May 2025,Play Offs,0,Winnipeg Jets,Dallas Stars,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-dallas-stars-xrZ4CEVO/
09 May 2025,Play Offs,0,Florida Panthers,Toronto Maple Leafs,5,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-zFpHY5Pi/
08 May 2025,Play Offs,0,Vegas Golden Knights,Edmonton Oilers,4,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-CdiJfVPk/
08 May 2025,Play Offs,0,Washington Capitals,Carolina Hurricanes,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-pn7v2DXF/
07 May 2025,Play Offs,0,Winnipeg Jets,Dallas Stars,2,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-dallas-stars-tGudEz1C/
07 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-CY8W3Z23/
06 May 2025,Play Offs,0,Vegas Golden Knights,Edmonton Oilers,2,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-tE0m0i2S/
06 May 2025,Play Offs,0,Washington Capitals,Carolina Hurricanes,1,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-GABRwPMa/
05 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,5,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-OzFZy3iC/
04 May 2025,Play Offs,0,Winnipeg Jets,St. Louis Blues,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-GngA4hEl/
03 May 2025,Play Offs,0,Dallas Stars,Colorado Avalanche,4,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-colorado-avalanche-vHtCE6q4/
02 May 2025,Play Offs,0,St. Louis Blues,Winnipeg Jets,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-winnipeg-jets-fwW3RXSs/
01 May 2025,Play Offs,0,Edmonton Oilers,Los Angeles Kings,6,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-los-angeles-kings-6PokZhIb/
01 May 2025,Play Offs,0,Colorado Avalanche,Dallas Stars,7,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-dallas-stars-K0Lf0p6F/
01 May 2025,Play Offs,0,Minnesota Wild,Vegas Golden Knights,2,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-vegas-golden-knights-OYDdu4IE/
01 May 2025,Play Offs,0,Ottawa Senators,Toronto Maple Leafs,2,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-toronto-maple-leafs-jTBQf4fo/
30 Apr 2025,Play Offs,0,Winnipeg Jets,St. Louis Blues,5,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-2FqRwixA/
30 Apr 2025,Play Offs,0,Tampa Bay Lightning,Florida Panthers,3,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-florida-panthers-Ik43GAnp/
30 Apr 2025,Play Offs,0,Washington Capitals,Montreal Canadiens,4,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-montreal-canadiens-fBeeQXzq/
29 Apr 2025,Play Offs,0,Los Angeles Kings,Edmonton Oilers,1,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-edmonton-oilers-fDjwsuwK/
29 Apr 2025,Play Offs,0,Vegas Golden Knights,Minnesota Wild,3,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-minnesota-wild-xhvIoJVP/
29 Apr 2025,Play Offs,0,Carolina Hurricanes,New Jersey Devils,5,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-new-jersey-devils-8dUywBKl/
29 Apr 2025,Play Offs,0,Toronto Maple Leafs,Ottawa Senators,0,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-ottawa-senators-jVWitPEq/
28 Apr 2025,Play Offs,0,Dallas Stars,Colorado Avalanche,6,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-colorado-avalanche-G25Z3lpL/
28 Apr 2025,Play Offs,0,Florida Panthers,Tampa Bay Lightning,4,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-tampa-bay-lightning-0QP1qK86/
27 Apr 2025,Play Offs,0,Edmonton Oilers,Los Angeles Kings,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-los-angeles-kings-Is8BY2fl/
27 Apr 2025,Play Offs,0,Montreal Canadiens,Washington Capitals,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-washington-capitals-0j9hIsA7/
27 Apr 2025,Play Offs,0,New Jersey Devils,Carolina Hurricanes,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-carolina-hurricanes-I7i27Qek/
27 Apr 2025,Play Offs,0,St. Louis Blues,Winnipeg Jets,5,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-winnipeg-jets-bLiSaugm/
26 Apr 2025,Play Offs,0,Colorado Avalanche,Dallas Stars,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-dallas-stars-0SQ5RomL/
26 Apr 2025,Play Offs,0,Ottawa Senators,Toronto Maple Leafs,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-toronto-maple-leafs-6qGGwkxo/
26 Apr 2025,Play Offs,0,Minnesota Wild,Vegas Golden Knights,3,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-vegas-golden-knights-C0iEhOoK/
26 Apr 2025,Play Offs,0,Florida Panthers,Tampa Bay Lightning,1,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-tampa-bay-lightning-vBygotvf/
25 Apr 2025,Play Offs,0,Edmonton Oilers,Los Angeles Kings,7,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-los-angeles-kings-Y9WvvPWQ/
25 Apr 2025,Play Offs,0,New Jersey Devils,Carolina Hurricanes,3,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-carolina-hurricanes-nLUUPYBG/
25 Apr 2025,Play Offs,0,Montreal Canadiens,Washington Capitals,6,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-washington-capitals-SxBpK3ue/
24 Apr 2025,Play Offs,0,St. Louis Blues,Winnipeg Jets,7,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-winnipeg-jets-2k6d51VP/
24 Apr 2025,Play Offs,0,Minnesota Wild,Vegas Golden Knights,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-vegas-golden-knights-K64SUKgD/
24 Apr 2025,Play Offs,0,Ottawa Senators,Toronto Maple Leafs,2,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-toronto-maple-leafs-ne3rdchC/
24 Apr 2025,Play Offs,0,Tampa Bay Lightning,Florida Panthers,0,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-florida-panthers-WpYpm29s/
23 Apr 2025,Play Offs,0,Los Angeles Kings,Edmonton Oilers,6,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-edmonton-oilers-QqTWuo2E/
23 Apr 2025,Play Offs,0,Colorado Avalanche,Dallas Stars,1,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-dallas-stars-vDxcT7I8/
23 Apr 2025,Play Offs,0,Washington Capitals,Montreal Canadiens,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-montreal-canadiens-WAHyMPAr/
22 Apr 2025,Play Offs,0,Vegas Golden Knights,Minnesota Wild,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-minnesota-wild-Q7BJWtP0/
22 Apr 2025,Play Offs,0,Tampa Bay Lightning,Florida Panthers,2,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-florida-panthers-pKQmzGF6/
22 Apr 2025,Play Offs,0,Toronto Maple Leafs,Ottawa Senators,3,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-ottawa-senators-fmoybJNa/
22 Apr 2025,Play Offs,0,Carolina Hurricanes,New Jersey Devils,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-new-jersey-devils-jgyMRfs4/
21 Apr 2025,Play Offs,0,Los Angeles Kings,Edmonton Oilers,6,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-edmonton-oilers-6azCQO9a/
21 Apr 2025,Play Offs,0,Dallas Stars,Colorado Avalanche,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-colorado-avalanche-EZpB54Q1/
21 Apr 2025,Play Offs,0,Winnipeg Jets,St. Louis Blues,2,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-nsO9sbwJ/
21 Apr 2025,Play Offs,0,Washington Capitals,Montreal Canadiens,3,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-montreal-canadiens-I7ZrvdZA/
20 Apr 2025,Play Offs,0,Vegas Golden Knights,Minnesota Wild,4,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-minnesota-wild-SbK6jy0m/
20 Apr 2025,Play Offs,0,Toronto Maple Leafs,Ottawa Senators,6,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-ottawa-senators-IXOeYgpJ/
20 Apr 2025,Play Offs,0,Carolina Hurricanes,New Jersey Devils,4,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-new-jersey-devils-UujJNJ4m/
19 Apr 2025,Play Offs,0,Dallas Stars,Colorado Avalanche,1,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-colorado-avalanche-426falrC/
19 Apr 2025,Play Offs,0,Winnipeg Jets,St. Louis Blues,5,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-lE8FlFUa/
17 Apr 2025,Regular,0,Los Angeles Kings,Calgary Flames,1,5,-198.0,163.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-calgary-flames-IqJ1lvHL/
17 Apr 2025,Regular,0,Buffalo Sabres,Philadelphia Flyers,5,4,-167.0,142.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-philadelphia-flyers-z1sKAia5/
17 Apr 2025,Regular,0,Columbus Blue Jackets,New York Islanders,6,1,-199.0,166.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-new-york-islanders-tb2uEQ5c/
17 Apr 2025,Regular,0,New York Rangers,Tampa Bay Lightning,4,0,-111.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-rangers-tampa-bay-lightning-f3cL8VTH/
17 Apr 2025,Regular,0,Ottawa Senators,Carolina Hurricanes,7,5,-156.0,132.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-carolina-hurricanes-YPAnDawf/
17 Apr 2025,Regular,0,Pittsburgh Penguins,Washington Capitals,5,2,-116.0,-102.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/pittsburgh-penguins-washington-capitals-02PhjNDj/
17 Apr 2025,Regular,0,Toronto Maple Leafs,Detroit Red Wings,4,3,-172.0,145.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-detroit-red-wings-tIhuFL8s/
16 Apr 2025,Regular,0,San Jose Sharks,Edmonton Oilers,0,3,183.0,-221.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/san-jose-sharks-edmonton-oilers-MXB8KsoK/
16 Apr 2025,Regular,0,Vancouver Canucks,Vegas Golden Knights,1,4,-120.0,103.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vancouver-canucks-vegas-golden-knights-UwPMdvgD/
16 Apr 2025,Regular,0,Nashville Predators,Dallas Stars,5,1,144.0,-170.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/nashville-predators-dallas-stars-2mqCCDUh/
16 Apr 2025,Regular,0,New Jersey Devils,Detroit Red Wings,2,5,128.0,-152.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-detroit-red-wings-6Lk3EZat/
16 Apr 2025,Regular,0,Montreal Canadiens,Carolina Hurricanes,4,2,-143.0,122.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-carolina-hurricanes-neX50Mgl/
16 Apr 2025,Regular,0,Winnipeg Jets,Anaheim Ducks,2,1,-318.0,255.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-anaheim-ducks-YBVDb0O0/
15 Apr 2025,Regular,0,Seattle Kraken,Los Angeles Kings,5,6,-114.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/seattle-kraken-los-angeles-kings-GdAgfWEO/
15 Apr 2025,Regular,0,Calgary Flames,Vegas Golden Knights,5,4,-118.0,-100.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-vegas-golden-knights-S6KXIU9F/
15 Apr 2025,Regular,0,Minnesota Wild,Anaheim Ducks,3,2,-278.0,222.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-anaheim-ducks-fsMpdhpC/
15 Apr 2025,Regular,0,St. Louis Blues,Utah Mammoth,6,1,-155.0,132.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-utah-mammoth-2Z3wbEFa/
15 Apr 2025,Regular,0,New York Islanders,Washington Capitals,1,3,-110.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-york-islanders-washington-capitals-67AUazom/
15 Apr 2025,Regular,0,Tampa Bay Lightning,Florida Panthers,5,1,-213.0,175.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-florida-panthers-fTtCsgVI/
15 Apr 2025,Regular,0,Boston Bruins,New Jersey Devils,4,5,126.0,-149.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/boston-bruins-new-jersey-devils-8Cr4qF06/
15 Apr 2025,Regular,0,Buffalo Sabres,Toronto Maple Leafs,0,4,123.0,-145.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/buffalo-sabres-toronto-maple-leafs-4YYxcmmd/
15 Apr 2025,Regular,0,Ottawa Senators,Chicago Blackhawks,3,4,-276.0,221.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-chicago-blackhawks-KtHPKju3/
15 Apr 2025,Regular,0,Philadelphia Flyers,Columbus Blue Jackets,0,3,129.0,-152.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/philadelphia-flyers-columbus-blue-jackets-AyPb5dNP/
14 Apr 2025,Regular,0,Edmonton Oilers,Los Angeles Kings,0,5,154.0,-190.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-los-angeles-kings-E3fb4VfM/
14 Apr 2025,Regular,0,Vancouver Canucks,San Jose Sharks,2,1,-325.0,256.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vancouver-canucks-san-jose-sharks-WKzVb9Iq/
14 Apr 2025,Regular,0,Nashville Predators,Utah Mammoth,3,7,126.0,-152.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/nashville-predators-utah-mammoth-ncfeoyWg/
14 Apr 2025,Regular,0,Detroit Red Wings,Dallas Stars,6,4,-101.0,-118.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/detroit-red-wings-dallas-stars-KnAGhJwK/
14 Apr 2025,Regular,0,Florida Panthers,New York Rangers,3,5,-179.0,147.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-new-york-rangers-vXjmmc1s/
14 Apr 2025,Regular,0,Montreal Canadiens,Chicago Blackhawks,3,4,-320.0,254.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/montreal-canadiens-chicago-blackhawks-6wij6iQ9/
13 Apr 2025,Regular,0,Anaheim Ducks,Colorado Avalanche,2,4,104.0,-125.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/anaheim-ducks-colorado-avalanche-ShNUUFoD/
13 Apr 2025,Regular,0,Calgary Flames,San Jose Sharks,5,2,-337.0,269.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-san-jose-sharks-pO2s8Dec/
13 Apr 2025,Regular,0,Winnipeg Jets,Edmonton Oilers,1,4,-111.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-edmonton-oilers-IHAepA3j/
13 Apr 2025,Regular,0,Tampa Bay Lightning,Buffalo Sabres,7,4,-261.0,213.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/tampa-bay-lightning-buffalo-sabres-QTQDYcnl/
13 Apr 2025,Regular,0,Washington Capitals,Columbus Blue Jackets,1,4,-167.0,142.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-columbus-blue-jackets-YgULWyH0/
13 Apr 2025,Regular,0,Carolina Hurricanes,Toronto Maple Leafs,1,4,-213.0,178.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-toronto-maple-leafs-lnhXkWuT/
13 Apr 2025,Regular,0,Pittsburgh Penguins,Boston Bruins,1,4,-162.0,135.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/pittsburgh-penguins-boston-bruins-tdksvKOQ/
13 Apr 2025,Regular,0,New Jersey Devils,New York Islanders,0,1,-205.0,171.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-new-york-islanders-YVoZutfE/
13 Apr 2025,Regular,0,Ottawa Senators,Philadelphia Flyers,4,3,-216.0,178.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-philadelphia-flyers-GYgPihBG/
12 Apr 2025,Regular,0,Seattle Kraken,St. Louis Blues,4,3,129.0,-154.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/seattle-kraken-st-louis-blues-C6Uptbv8/
12 Apr 2025,Regular,0,Vancouver Canucks,Minnesota Wild,2,3,100.0,-121.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vancouver-canucks-minnesota-wild-K60GgEt4/
12 Apr 2025,Regular,0,Vegas Golden Knights,Nashville Predators,5,3,-263.0,214.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-nashville-predators-vgWxrK9e/
12 Apr 2025,Regular,0,Dallas Stars,Utah Mammoth,3,5,-136.0,113.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-utah-mammoth-rRxUqtuq/
12 Apr 2025,Regular,0,Chicago Blackhawks,Winnipeg Jets,4,5,240.0,-308.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/chicago-blackhawks-winnipeg-jets-Ctc8ezCi/
12 Apr 2025,Regular,0,Toronto Maple Leafs,Montreal Canadiens,1,0,-229.0,188.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-montreal-canadiens-UHXNmOho/
12 Apr 2025,Regular,0,Florida Panthers,Buffalo Sabres,3,2,-175.0,144.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-buffalo-sabres-jZU1t7Yj/
12 Apr 2025,Regular,0,Los Angeles Kings,Colorado Avalanche,5,4,-187.0,154.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/los-angeles-kings-colorado-avalanche-WllVoTAT/
12 Apr 2025,Regular,0,Carolina Hurricanes,New York Rangers,7,3,-199.0,163.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-new-york-rangers-byjNmktH/
12 Apr 2025,Regular,0,Columbus Blue Jackets,Washington Capitals,7,0,-116.0,-104.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/columbus-blue-jackets-washington-capitals-GCMm4AQc/
12 Apr 2025,Regular,0,Philadelphia Flyers,New York Islanders,4,3,-111.0,-107.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/philadelphia-flyers-new-york-islanders-29dEkBB4/
11 Apr 2025,Regular,0,Calgary Flames,Minnesota Wild,4,2,102.0,-124.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/calgary-flames-minnesota-wild-02shgpVN/
11 Apr 2025,Regular,0,Edmonton Oilers,San Jose Sharks,4,2,-396.0,306.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-san-jose-sharks-4zlqe60B/
11 Apr 2025,Regular,0,New Jersey Devils,Pittsburgh Penguins,2,4,-195.0,160.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/new-jersey-devils-pittsburgh-penguins-Ghb6iXth/
11 Apr 2025,Regular,0,Ottawa Senators,Montreal Canadiens,5,2,-140.0,118.0,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-montreal-canadiens-WMkycSVb/
