date,season_type,neutral,team_1,team_2,points_1,points_2,moneylines,game_url
01 Nov 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,4,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-GdvpQQme/
31 Oct 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,1,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-SGHjXzg4/
29 Oct 2025,Play Offs,0,Los Angeles Dodgers,Toronto Blue Jays,1,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-toronto-blue-jays-trho9PB6/
28 Oct 2025,Play Offs,0,Los Angeles Dodgers,Toronto Blue Jays,2,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-toronto-blue-jays-fBZgTpYA/
27 Oct 2025,Play Offs,0,Los Angeles Dodgers,Toronto Blue Jays,6,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-toronto-blue-jays-0CtoV63b/
25 Oct 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,1,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-hnwwXSYo/
24 Oct 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,11,4,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-n5QUSGMU/
20 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,4,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-I1OkRbdB/
19 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,6,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-rqbU6ZWN/
17 Oct 2025,Play Offs,0,Los Angeles Dodgers,Milwaukee Brewers,5,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-milwaukee-brewers-8W2lXuCj/
17 Oct 2025,Play Offs,0,Seattle Mariners,Toronto Blue Jays,6,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-toronto-blue-jays-EFd7iqKE/
16 Oct 2025,Play Offs,0,Seattle Mariners,Toronto Blue Jays,2,8,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-toronto-blue-jays-bybluIJs/
16 Oct 2025,Play Offs,0,Los Angeles Dodgers,Milwaukee Brewers,3,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-milwaukee-brewers-ObRHx2lT/
15 Oct 2025,Play Offs,0,Seattle Mariners,Toronto Blue Jays,4,13,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-toronto-blue-jays-SlyHcQZ8/
14 Oct 2025,Play Offs,0,Milwaukee Brewers,Los Angeles Dodgers,1,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-los-angeles-dodgers-GYN9vOJG/
13 Oct 2025,Play Offs,0,Milwaukee Brewers,Los Angeles Dodgers,1,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-los-angeles-dodgers-dW78tpk4/
13 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,3,10,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-CtgUZMs2/
12 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,1,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-4GkMyqDk/
11 Oct 2025,Play Offs,0,Milwaukee Brewers,Chicago Cubs,3,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-chicago-cubs-0fZOGlUH/
10 Oct 2025,Play Offs,0,Seattle Mariners,Detroit Tigers,3,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-detroit-tigers-4YvCVUiB/
09 Oct 2025,Play Offs,0,Chicago Cubs,Milwaukee Brewers,6,0,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-milwaukee-brewers-neeNo2a6/
09 Oct 2025,Play Offs,0,Los Angeles Dodgers,Philadelphia Phillies,2,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-philadelphia-phillies-dQE5buqC/
08 Oct 2025,Play Offs,0,Los Angeles Dodgers,Philadelphia Phillies,2,8,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-philadelphia-phillies-A12sPw0m/
08 Oct 2025,Play Offs,0,New York Yankees,Toronto Blue Jays,2,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-toronto-blue-jays-nVZnHwx9/
08 Oct 2025,Play Offs,0,Chicago Cubs,Milwaukee Brewers,4,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-milwaukee-brewers-Agb4q59b/
08 Oct 2025,Play Offs,0,Detroit Tigers,Seattle Mariners,9,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/detroit-tigers-seattle-mariners-6eU9EM9r/
07 Oct 2025,Play Offs,0,New York Yankees,Toronto Blue Jays,9,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-toronto-blue-jays-v96U6a7M/
07 Oct 2025,Play Offs,0,Detroit Tigers,Seattle Mariners,4,8,[],https://www.oddsportal.com/baseball/usa/mlb-2025/detroit-tigers-seattle-mariners-SCyPd0RO/
06 Oct 2025,Play Offs,0,Milwaukee Brewers,Chicago Cubs,7,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-chicago-cubs-Ox0doRvn/
06 Oct 2025,Play Offs,0,Philadelphia Phillies,Los Angeles Dodgers,3,4,[],https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-los-angeles-dodgers-vJBBUaxQ/
05 Oct 2025,Play Offs,0,Seattle Mariners,Detroit Tigers,3,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-detroit-tigers-MFYGbMdC/
05 Oct 2025,Play Offs,0,Toronto Blue Jays,New York Yankees,13,7,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-new-york-yankees-IgIL8LxA/
04 Oct 2025,Play Offs,0,Seattle Mariners,Detroit Tigers,2,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-detroit-tigers-Qmu80rSa/
04 Oct 2025,Play Offs,0,Philadelphia Phillies,Los Angeles Dodgers,3,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-los-angeles-dodgers-bNYO6dpJ/
04 Oct 2025,Play Offs,0,Toronto Blue Jays,New York Yankees,10,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-new-york-yankees-ATEDAs8c/
04 Oct 2025,Play Offs,0,Milwaukee Brewers,Chicago Cubs,9,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-chicago-cubs-KOZoRNgU/
02 Oct 2025,Wild Card,0,New York Yankees,Boston Red Sox,4,0,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-boston-red-sox-pOrwDIl2/
02 Oct 2025,Wild Card,0,Chicago Cubs,San Diego Padres,3,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-san-diego-padres-EssFiBMO/
02 Oct 2025,Wild Card,0,Cleveland Guardians,Detroit Tigers,3,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-detroit-tigers-pnZoFJwh/
01 Oct 2025,Wild Card,0,Los Angeles Dodgers,Cincinnati Reds,8,4,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-cincinnati-reds-bHevvpZh/
01 Oct 2025,Wild Card,0,New York Yankees,Boston Red Sox,4,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-boston-red-sox-l6SLL2JO/
01 Oct 2025,Wild Card,0,Chicago Cubs,San Diego Padres,0,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-san-diego-padres-8Ew1iCg3/
01 Oct 2025,Wild Card,0,Cleveland Guardians,Detroit Tigers,6,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-detroit-tigers-29hez2YH/
30 Sep 2025,Wild Card,0,Los Angeles Dodgers,Cincinnati Reds,10,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-cincinnati-reds-Q3cWu64t/
30 Sep 2025,Wild Card,0,New York Yankees,Boston Red Sox,1,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-boston-red-sox-ttPDNOlC/
30 Sep 2025,Wild Card,0,Chicago Cubs,San Diego Padres,3,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-san-diego-padres-fZeET81d/
30 Sep 2025,Wild Card,0,Cleveland Guardians,Detroit Tigers,1,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-detroit-tigers-fqkmxO35/
28 Sep 2025,Regular,0,Chicago Cubs,St.Louis Cardinals,2,0,"[(-154, 125), (-159, 120), (-154, 129), (-147, 133), (-149, 125), (-147, 129)]",https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-st-louis-cardinals-QywZjywH/
28 Sep 2025,Regular,0,Atlanta Braves,Pittsburgh Pirates,4,1,"[(-200, 154), (-200, 150), (-189, 160), (-179, 163), (-189, 154), (-182, 160)]",https://www.oddsportal.com/baseball/usa/mlb-2025/atlanta-braves-pittsburgh-pirates-j7MbkO1C/
28 Sep 2025,Regular,0,Cleveland Guardians,Texas Rangers,9,8,"[(-149, 120), (-154, 114), (-141, 120), (-133, 122), (-143, 120), (-137, 121)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-texas-rangers-MRUsg62m/
28 Sep 2025,Regular,0,Miami Marlins,New York Mets,4,0,"[(120, -149), (110, -147), (120, -141), (124, -135), (118, -139), (119, -135)]",https://www.oddsportal.com/baseball/usa/mlb-2025/miami-marlins-new-york-mets-MqtIfJwh/
28 Sep 2025,Regular,0,Milwaukee Brewers,Cincinnati Reds,4,2,"[(-137, 110), (-143, 104), (-135, 114), (-130, 119), (-137, 114), (-128, 114)]",https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-cincinnati-reds-bkyskF7T/
28 Sep 2025,Regular,0,San Diego Padres,Arizona Diamondbacks,12,4,"[(-137, 110), (-143, 104), (-141, 120), (-135, 125), (-137, 114), (-133, 118)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-diego-padres-arizona-diamondbacks-UVK05zhA/
28 Sep 2025,Regular,0,Seattle Mariners,Los Angeles Dodgers,1,6,"[(114, -141), (110, -147), (120, -141), (120, -132), (114, -135), (116, -130)]",https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-los-angeles-dodgers-xdO83EMM/
28 Sep 2025,Regular,0,Los Angeles Angels,Houston Astros,2,6,"[(-110, -118), (-105, -125), (100, -120), (102, -111), (100, -120), (100, -114)]",https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-angels-houston-astros-tAv6qgVj/
28 Sep 2025,Regular,0,Toronto Blue Jays,Tampa Bay Rays,13,4,"[(-213, 165), (-233, 165), (-222, 179), (-185, 166), (-222, 179), (-204, 179)]",https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-tampa-bay-rays-IBZePk0t/
28 Sep 2025,Regular,0,Athletics,Kansas City Royals,2,9,"[(120, -149), (114, -154), (125, -149), (129, -141), (125, -149), (125, -143)]",https://www.oddsportal.com/baseball/usa/mlb-2025/athletics-kansas-city-royals-8GWi7dNc/
28 Sep 2025,Regular,0,Boston Red Sox,Detroit Tigers,4,3,"[(-110, -118), (-111, -118), (-110, -110), (-106, -102), (-110, -110), (-104, -109)]",https://www.oddsportal.com/baseball/usa/mlb-2025/boston-red-sox-detroit-tigers-2slBbSvQ/
28 Sep 2025,Regular,0,New York Yankees,Baltimore Orioles,3,2,"[(-189, 150), (-189, 145), (-179, 150), (-164, 150), (-175, 145), (-175, 154)]",https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-baltimore-orioles-U9qQhc84/
28 Sep 2025,Regular,0,Philadelphia Phillies,Minnesota Twins,2,1,"[(-250, 195), (-263, 190), (-244, 200), (-238, 211), (-250, 200), (-238, 204)]",https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-minnesota-twins-fuTkipXa/
28 Sep 2025,Regular,0,San Francisco Giants,Colorado Rockies,4,0,"[(-333, 240), (-333, 229), (-312, 250), (-294, 256), (-294, 240), (-294, 254)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-francisco-giants-colorado-rockies-fD4ubhpp/
28 Sep 2025,Regular,0,Washington Nationals,Chicago White Sox,0,8,"[(-125, 100), (-120, -108), (-115, -105), (-111, 102), (-118, -102), (-110, -102)]",https://www.oddsportal.com/baseball/usa/mlb-2025/washington-nationals-chicago-white-sox-tl3VWFoo/
27 Sep 2025,Regular,0,Athletics,Kansas City Royals,2,4,"[(-125, 100), (-128, -105), (-125, 104), (-116, 106), (-120, 100), (-116, 102)]",https://www.oddsportal.com/baseball/usa/mlb-2025/athletics-kansas-city-royals-WxGatTIs/
27 Sep 2025,Regular,0,Seattle Mariners,Los Angeles Dodgers,3,5,"[(-137, 110), (-143, 104), (-135, 114), (-127, 116), (-137, 114), (-128, 114)]",https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-los-angeles-dodgers-zVCGxoI6/
27 Sep 2025,Regular,0,Los Angeles Angels,Houston Astros,1,6,"[(120, -149), (114, -154), (120, -141), (124, -135), (125, -149), (122, -139)]",https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-angels-houston-astros-z7UTokeK/
27 Sep 2025,Regular,0,San Diego Padres,Arizona Diamondbacks,5,1,"[(-161, 129), (-167, 125), (-159, 135), (-156, 142), (-161, 135), (-156, 139)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-diego-padres-arizona-diamondbacks-S498v7mf/
27 Sep 2025,Regular,0,Atlanta Braves,Pittsburgh Pirates,1,3,"[(-189, 145), (-182, 140), (-179, 150), (-167, 150), (-175, 145), (-167, 147)]",https://www.oddsportal.com/baseball/usa/mlb-2025/atlanta-braves-pittsburgh-pirates-Odn8B8J7/
27 Sep 2025,Regular,0,Cleveland Guardians,Texas Rangers,3,2,"[(-154, 125), (-167, 120), (-159, 135), (-143, 129), (-149, 125), (-143, 127)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-texas-rangers-K4kiFjKr/
27 Sep 2025,Regular,0,Milwaukee Brewers,Cincinnati Reds,4,7,"[(-141, 114), (-133, 100), (-125, 104), (-120, 110), (-125, 104), (-120, 106)]",https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-cincinnati-reds-MRnsOo3D/
27 Sep 2025,Regular,0,Philadelphia Phillies,Minnesota Twins,0,5,"[(-250, 195), (-250, 185), (-244, 200), (-238, 213), (-222, 179), (-233, 200)]",https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-minnesota-twins-SUhaDUle/
27 Sep 2025,Regular,0,Washington Nationals,Chicago White Sox,6,5,"[(-118, -110), (-118, -111), (-115, -105), (-109, 100), (-110, -110), (-118, 100)]",https://www.oddsportal.com/baseball/usa/mlb-2025/washington-nationals-chicago-white-sox-GjZgZBBE/
27 Sep 2025,Regular,0,Boston Red Sox,Detroit Tigers,1,2,"[(-125, 100), (-125, -105), (-120, 100), (-116, 106), (-120, 100), (-114, 100)]",https://www.oddsportal.com/baseball/usa/mlb-2025/boston-red-sox-detroit-tigers-zXDKKCdL/
27 Sep 2025,Regular,0,Miami Marlins,New York Mets,0,5,"[(114, -141), (110, -147), (120, -141), (117, -128), (120, -141), (121, -137)]",https://www.oddsportal.com/baseball/usa/mlb-2025/miami-marlins-new-york-mets-M34fXktR/
27 Sep 2025,Regular,0,San Francisco Giants,Colorado Rockies,4,3,"[(-250, 195), (-250, 185), (-238, 195), (-227, 204), (-250, 200), (-233, 200)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-francisco-giants-colorado-rockies-dp1PzPnJ/
27 Sep 2025,Regular,0,Toronto Blue Jays,Tampa Bay Rays,5,1,"[(-167, 135), (-172, 129), (-169, 145), (-156, 142), (-167, 140), (-164, 145)]",https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-tampa-bay-rays-Snfn5nFO/
27 Sep 2025,Regular,0,Chicago Cubs,St.Louis Cardinals,7,3,"[(-189, 150), (-189, 140), (-179, 150), (-172, 156), (-182, 150), (-172, 150)]",https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-st-louis-cardinals-E1qZP7Y0/
27 Sep 2025,Regular,0,New York Yankees,Baltimore Orioles,6,1,"[(-250, 195), (-250, 179), (-238, 195), (-227, 202), (-227, 185), (-227, 200)]",https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-baltimore-orioles-hneQRT3l/
26 Sep 2025,Regular,0,San Francisco Giants,Colorado Rockies,6,3,"[(-250, 195), (-263, 190), (-244, 200), (-233, 208), (-250, 200), (-233, 204)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-francisco-giants-colorado-rockies-UZACMYR8/
26 Sep 2025,Regular,0,Athletics,Kansas City Royals,4,3,"[(100, -125), (-105, -128), (104, -125), (114, -125), (104, -125), (106, -120)]",https://www.oddsportal.com/baseball/usa/mlb-2025/athletics-kansas-city-royals-nDCqJaLG/
26 Sep 2025,Regular,0,San Diego Padres,Arizona Diamondbacks,7,4,"[(-149, 120), (-147, 110), (-130, 110), (-127, 116), (-137, 114), (-127, 112)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-diego-padres-arizona-diamondbacks-tEUH0i5k/
26 Sep 2025,Regular,0,Seattle Mariners,Los Angeles Dodgers,2,3,"[(-154, 125), (-159, 120), (-149, 125), (-149, 136), (-149, 125), (-145, 127)]",https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-los-angeles-dodgers-ERSPbVZ1/
26 Sep 2025,Regular,0,Los Angeles Angels,Houston Astros,4,3,"[(110, -137), (104, -137), (110, -130), (116, -127), (114, -135), (112, -127)]",https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-angels-houston-astros-0dEyLLj4/
26 Sep 2025,Regular,0,Milwaukee Brewers,Cincinnati Reds,1,3,"[(-175, 140), (-172, 129), (-159, 135), (-159, 145), (-164, 135), (-161, 141)]",https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-cincinnati-reds-vsQSMsMi/
26 Sep 2025,Regular,0,Atlanta Braves,Pittsburgh Pirates,3,9,"[(-161, 129), (-167, 125), (-159, 135), (-154, 141), (-164, 135), (-149, 133)]",https://www.oddsportal.com/baseball/usa/mlb-2025/atlanta-braves-pittsburgh-pirates-W2snA4xn/
26 Sep 2025,Regular,0,Boston Red Sox,Detroit Tigers,4,3,"[(-125, 100), (-128, -105), (-120, 100), (-116, 106), (-120, 100), (-118, 104)]",https://www.oddsportal.com/baseball/usa/mlb-2025/boston-red-sox-detroit-tigers-0McSgqh5/
26 Sep 2025,Regular,0,Cleveland Guardians,Texas Rangers,3,7,"[(-161, 129), (-167, 125), (-154, 129), (-152, 138), (-161, 135), (-149, 133)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-texas-rangers-KODTiNMH/
26 Sep 2025,Regular,0,Miami Marlins,New York Mets,6,2,"[(114, -141), (110, -147), (114, -135), (120, -132), (120, -141), (120, -135)]",https://www.oddsportal.com/baseball/usa/mlb-2025/miami-marlins-new-york-mets-Kxg26MyB/
26 Sep 2025,Regular,0,Toronto Blue Jays,Tampa Bay Rays,4,2,"[(-200, 154), (-200, 145), (-189, 160), (-182, 166), (-182, 150), (-175, 154)]",https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-tampa-bay-rays-6X5w78pC/
26 Sep 2025,Regular,0,New York Yankees,Baltimore Orioles,8,4,"[(-149, 120), (-154, 114), (-141, 120), (-133, 123), (-149, 125), (-141, 125)]",https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-baltimore-orioles-hjiA406N/
26 Sep 2025,Regular,0,Philadelphia Phillies,Minnesota Twins,3,1,"[(-149, 120), (-159, 120), (-141, 120), (-141, 129), (-154, 129), (-145, 127)]",https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-minnesota-twins-SlHyj1iU/
26 Sep 2025,Regular,0,Washington Nationals,Chicago White Sox,9,10,"[(-133, 104), (-137, 104), (-130, 110), (-123, 112), (-130, 110), (-125, 110)]",https://www.oddsportal.com/baseball/usa/mlb-2025/washington-nationals-chicago-white-sox-vTpf8r7b/
26 Sep 2025,Regular,0,Chicago Cubs,St.Louis Cardinals,12,1,"[(-189, 150), (-189, 145), (-189, 160), (-179, 161), (-182, 150), (-172, 150)]",https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-st-louis-cardinals-CzYtavUp/
25 Sep 2025,Regular,0,Seattle Mariners,Colorado Rockies,6,2,"[(-333, 240), (-333, 240), (-312, 250), (-278, 246), (-303, 240), (-303, 260)]",https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-colorado-rockies-S8aKe5Nh/
25 Sep 2025,Regular,0,Los Angeles Angels,Kansas City Royals,4,9,"[(110, -137), (100, -133), (114, -135), (110, -120), (114, -137), (112, -127)]",https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-angels-kansas-city-royals-K2xgupwC/
25 Sep 2025,Regular,0,Chicago Cubs,New York Mets,5,8,"[(-110, -118), (-108, -125), (-105, -115), (104, -112), (-105, -115), (100, -114)]",https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-new-york-mets-IwtxqSwm/
25 Sep 2025,Regular,0,Toronto Blue Jays,Boston Red Sox,6,1,"[(-141, 114), (-154, 110), (-135, 114), (-130, 119), (-139, 118), (-135, 119)]",https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-boston-red-sox-b72V8UFa/
25 Sep 2025,Regular,0,New York Yankees,Chicago White Sox,5,3,"[(-333, 240), (-333, 235), (-323, 260), (-312, 271), (-294, 235), (-303, 265)]",https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-chicago-white-sox-M7f6llGP/
25 Sep 2025,Regular,0,Cleveland Guardians,Detroit Tigers,2,4,"[(-161, 129), (-167, 125), (-159, 135), (-152, 138), (-167, 140), (-156, 137)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-detroit-tigers-jidpWVWs/
25 Sep 2025,Regular,0,Philadelphia Phillies,Miami Marlins,1,0,"[(-161, 129), (-172, 129), (-159, 135), (-147, 135), (-169, 140), (-154, 135)]",https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-miami-marlins-hb18QR0J/
25 Sep 2025,Regular,0,Arizona Diamondbacks,Los Angeles Dodgers,0,8,"[(135, -167), (129, -172), (135, -159), (141, -156), (140, -169), (137, -154)]",https://www.oddsportal.com/baseball/usa/mlb-2025/arizona-diamondbacks-los-angeles-dodgers-tIQ1wO7O/
25 Sep 2025,Regular,0,Athletics,Houston Astros,5,11,"[(-110, -118), (-108, -125), (-105, -115), (102, -111), (-105, -115), (100, -114)]",https://www.oddsportal.com/baseball/usa/mlb-2025/athletics-houston-astros-Wt6BcRht/
25 Sep 2025,Regular,0,Texas Rangers,Minnesota Twins,0,4,"[(-154, 125), (-159, 120), (-149, 125), (-141, 127), (-149, 125), (-145, 129)]",https://www.oddsportal.com/baseball/usa/mlb-2025/texas-rangers-minnesota-twins-E5Zps68a/
25 Sep 2025,Regular,0,Baltimore Orioles,Tampa Bay Rays,6,5,"[(-110, -118), (-108, -125), (-105, -115), (102, -111), (-105, -115), (100, -112)]",https://www.oddsportal.com/baseball/usa/mlb-2025/baltimore-orioles-tampa-bay-rays-KWm1SmW6/
25 Sep 2025,Regular,0,Cincinnati Reds,Pittsburgh Pirates,2,1,"[(-175, 140), (-182, 135), (-179, 150), (-169, 152), (-169, 140), (-167, 148)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cincinnati-reds-pittsburgh-pirates-bHahU91f/
24 Sep 2025,Regular,0,Athletics,Houston Astros,6,0,"[(110, -137), (104, -137), (114, -135), (120, -132), (114, -135), (114, -130)]",https://www.oddsportal.com/baseball/usa/mlb-2025/athletics-houston-astros-vF7oYI2S/
24 Sep 2025,Regular,0,San Francisco Giants,St.Louis Cardinals,4,3,"[(-110, -118), (-111, -118), (-105, -115), (104, -112), (-105, -115), (-104, -109)]",https://www.oddsportal.com/baseball/usa/mlb-2025/san-francisco-giants-st-louis-cardinals-4diQQze2/
24 Sep 2025,Regular,0,Arizona Diamondbacks,Los Angeles Dodgers,4,5,"[(120, -149), (114, -154), (125, -149), (124, -135), (125, -149), (121, -137)]",https://www.oddsportal.com/baseball/usa/mlb-2025/arizona-diamondbacks-los-angeles-dodgers-IaJxzuYF/
24 Sep 2025,Regular,0,Seattle Mariners,Colorado Rockies,9,2,"[(-333, 240), (-333, 235), (-303, 245), (-294, 258), (-303, 240), (-294, 254)]",https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-colorado-rockies-AcbHSdQk/
24 Sep 2025,Regular,0,Los Angeles Angels,Kansas City Royals,3,2,"[(-110, -110), (-111, -118), (-110, -110), (106, -116), (-105, -115), (100, -112)]",https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-angels-kansas-city-royals-AZFUy133/
24 Sep 2025,Regular,0,Chicago Cubs,New York Mets,10,3,"[(-125, 100), (-125, -105), (-115, -105), (-112, 104), (-118, -102), (-114, 100)]",https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-new-york-mets-bwDsGJtp/
24 Sep 2025,Regular,0,Texas Rangers,Minnesota Twins,4,2,"[(-200, 154), (-200, 145), (-179, 150), (-172, 156), (-189, 154), (-172, 150)]",https://www.oddsportal.com/baseball/usa/mlb-2025/texas-rangers-minnesota-twins-WjBkEcBd/
24 Sep 2025,Regular,0,Toronto Blue Jays,Boston Red Sox,1,7,"[(104, -133), (100, -133), (104, -125), (110, -119), (110, -130), (108, -122)]",https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-boston-red-sox-v5nUAjom/
24 Sep 2025,Regular,0,New York Yankees,Chicago White Sox,8,1,"[(-400, 300), (-435, 285), (-385, 300), (-357, 308), (-385, 300), (-370, 309)]",https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-chicago-white-sox-vgWALuJM/
24 Sep 2025,Regular,0,Philadelphia Phillies,Miami Marlins,11,1,"[(-167, 135), (-172, 125), (-164, 140), (-149, 137), (-167, 140), (-159, 139)]",https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-miami-marlins-WSS2N1lA/
24 Sep 2025,Regular,0,Cincinnati Reds,Pittsburgh Pirates,3,4,"[(-133, 104), (-133, 100), (-130, 110), (-125, 114), (-125, 104), (-125, 110)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cincinnati-reds-pittsburgh-pirates-vuix7t4T/
24 Sep 2025,Regular,0,Cleveland Guardians,Detroit Tigers,5,1,"[(-149, 120), (-154, 114), (-135, 114), (-128, 117), (-149, 125), (-137, 122)]",https://www.oddsportal.com/baseball/usa/mlb-2025/cleveland-guardians-detroit-tigers-6RhU82ZG/
