bin,n,favorite_roi,underdog_roi
0,120,-16.262,12.163
1,59,-5.8006,5.46
2,126,-11.6783,3.7159
3,368,-3.7918,-4.4331
4,518,0.6668,-6.222
5,510,-2.7632,-7.1016
6,380,-4.9767,-2.5172
7,129,6.3334,-16.6624
8,50,6.6838,-15.86
9,115,-11.4354,6.8414
