bin,n,favorite_roi,underdog_roi
0,0,,
1,0,,
2,3,36.0292,-100.0
3,85,-10.6571,9.4706
4,338,-5.4016,-1.1137
5,456,-4.3563,-2.053
6,299,-1.7965,-5.9866
7,31,-0.6804,-11.6774
8,0,,
9,0,,
