season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,71.81818181818181,64.0909090909091,61.36363636363637,50.0
2010,71.00977198697069,65.79804560260587,56.02605863192182,50.0
2011,69.65174129353234,65.17412935323384,58.37479270315091,50.0
2012,68.28282828282828,64.84848484848484,58.38383838383838,50.0
2013,69.91869918699187,66.82926829268293,61.78861788617886,50.0
2014,71.49837133550488,66.44951140065146,58.79478827361564,50.0
2015,70.35830618892508,66.77524429967427,61.726384364820845,50.0
2016,71.21951219512195,68.45528455284553,58.86178861788618,50.0
2017,63.784665579119086,60.68515497553018,58.890701468189235,50.0
2018,70.79934747145188,65.74225122349102,58.07504078303426,50.0
2019,68.40390879478828,66.12377850162866,57.817589576547235,50.0
2020,64.33962264150944,62.83018867924528,53.20754716981132,50.0
2021,70.74074074074075,67.4074074074074,55.0,50.0
2022,70.73170731707317,63.90243902439025,54.146341463414636,50.0
2023,68.45528455284553,60.32520325203252,55.28455284552845,50.0
2024,69.72176759410802,64.1571194762684,50.40916530278233,50.0
2025,70.27914614121511,67.816091954023,54.8440065681445,50.0
