season,favorite_roi,underdog_roi
2008,-0.0065941516872897454,-0.1340148695734493
2009,-0.025406011904490784,-0.0723920334995729
2010,-0.018116371636606145,-0.09887464029406376
2011,-0.05868608784873009,-0.04692666242891309
2012,-0.04433076280310859,-0.05458679261399827
2013,-0.039575592485964796,-0.05165664329261106
2014,-0.032576821762433046,-0.04716370068806993
2015,-0.025977211717615797,-0.04812282394449411
2016,-0.04071897140285897,-0.02963935921420276
2017,-0.03207377892952731,-0.040024980104177606
2018,-0.06890912040346296,-0.00016695942014170872
2019,-0.025561493428398478,-0.059650831746230135
2020,0.05330346417881967,-0.15576866916055346
2021,-0.005964264715982356,-0.07106299525679997
2022,-0.02825522411401927,-0.04436807023706757
2023,-0.0650278796060488,0.012056137480908056
2024,-0.08179042942240705,0.01711549604271234
2025,-0.06354442391351027,-0.010991934515858686
