season,favorite_roi,underdog_roi
2008,-0.0480538511072862,-0.07608142493638677
2009,-0.047150005762681794,-0.040896946564885496
2010,-0.03400520458580402,-0.06468531468531469
2011,-0.04121961961495527,-0.053411513859275055
2012,-0.06206041946976271,-0.024658385093167704
2013,-0.02967822298236119,-0.04784735812133072
2014,-0.05690353439362827,-0.01730478589420655
2015,0.02490110846006379,-0.14472081218274113
2016,-0.012150912452924807,-0.07373517786561265
2017,-0.05270773122977941,-0.01579047619047619
2018,-0.044598947964971464,-0.03022184300341297
2019,-0.05036927516200551,-0.03558394160583942
2020,-0.010321192557179523,-0.08230769230769232
2021,-0.034970658314664706,-0.04941391941391941
2022,-0.015095755417304556,-0.06946735395189003
2023,-0.05419088708692347,0.005890151515151516
2024,-0.005239162760885262,-0.09254166666666667
2025,-0.0739916117411633,0.0036525612472160297
