season,favorite_roi,underdog_roi
2008,0.15518018018018018,-0.6599999999999999
2009,-0.10019830860870176,0.0956
2010,-0.05693865583395716,0.027857142857142865
2011,-0.019974052233167162,-0.09866666666666667
2012,0.12100999024419305,-0.45894736842105266
2013,-0.0620846784500218,0.04891304347826088
2014,0.15642830718363743,-0.5207142857142857
2015,-0.11665453152771739,0.11000000000000003
2016,0.009051762658035657,-0.15660377358490568
2017,-0.010764193022975002,-0.11412698412698413
2018,-0.015740525970019677,-0.07530973451327433
2019,-0.03675700754511866,-0.058181818181818175
2020,-0.15900541214264133,0.2813333333333333
2021,-0.06205708814116508,0.014482758620689668
2022,-0.035601557173337135,0.0014285714285714333
2023,0.01597664976785454,-0.16372093023255815
2024,-0.04985996052544343,-0.004675324675324656
2025,0.0809347640466453,-0.3775280898876405
