season,n,favorite_roi,underdog_roi
2008,542,-3.4462857367337265,-10.469055825300742
2009,449,-3.252091010600522,-7.7250073267225785
2010,529,-4.8828717533441885,-5.623840650738681
2011,540,-2.875151730717077,-8.39428493952
2012,506,-4.956704408100034,-4.618391320391173
2013,499,-6.231052938894346,-1.9952540287443046
2014,562,2.6040600916165184,-11.266929505397766
2015,504,0.26939686502680565,-8.526121747666773
2016,466,-5.164854314266195,-1.2709159838504016
2017,478,-0.033052815496112234,-8.047246799196452
2018,392,-6.6861523301162755,-0.1745356679520313
2019,363,-7.68675848835456,0.6923046629100893
2020,139,2.371499851244562,-11.156377632643476
2021,350,-1.8328195021671236,-5.287668448884954
2022,344,3.9409173481358932,-12.412092281709663
2023,412,-7.047815001631741,1.586118990939077
2024,504,-9.155004503639178,2.691528300278327
2025,510,-10.505781899319,3.821224810328541
