season,favorite_roi,underdog_roi
2008,-0.06104976104976103,-0.06363636363636366
2009,-0.04437156394647096,-0.06590000000000001
2010,-0.14402663742629607,0.10644230769230768
2011,-0.07157499663548263,0.010319148936170202
2012,0.053314358874097294,-0.21434343434343434
2013,0.0314299485632447,-0.16165048543689323
2014,0.048287777938860965,-0.18655172413793103
2015,-0.025539477611265373,-0.0603370786516854
2016,-0.06952152182480391,0.0313095238095238
2017,-0.022740573815596816,-0.06061224489795918
2018,-0.02047116573731263,-0.07724890829694324
2019,-0.06920512598231286,-0.006407407407407416
2020,-0.09986993758229006,0.08826086956521738
2021,-0.07358638843404432,0.04019762845849802
2022,0.004407169007656559,-0.1013076923076923
2023,-0.12025811122197057,0.12712328767123288
2024,0.011849571520552863,-0.12094972067039106
2025,-0.07985081900376605,-0.0032098765432098902
