bin,n,favorite_roi,underdog_roi
0,79,-2.4061,-17.4995
1,55,-20.2583,45.1672
2,105,-11.0789,15.4878
3,175,-5.7769,1.1896
4,214,-6.0059,-6.0503
5,188,-8.6752,4.1701
6,166,-6.7521,10.28
7,95,-9.4628,8.4741
8,66,-8.6367,6.1671
9,67,-4.7004,-2.3582
