bin,n,favorite_roi,underdog_roi
0,1092,-1.0168,-7.286
1,744,-1.9464,-13.5376
2,1315,-3.3171,-3.1914
3,2602,-3.388,-5.2151
4,3983,-4.3255,-4.5932
5,3904,-5.777,0.2205
6,2449,-2.2983,-9.5826
7,1354,-5.1665,0.0713
8,758,-2.7734,-8.6713
9,1006,-3.0862,-18.2197
