bin,n,favorite_roi,underdog_roi
0,9,-14.3331,82.1111
1,9,-15.6853,41.3335
2,8,12.2397,-10.75
3,41,5.5798,-29.8703
4,53,7.2702,-21.0046
5,58,1.1207,-1.4139
6,35,1.9219,-38.3103
7,11,8.6513,-77.3636
8,3,-53.6458,191.0
9,13,1.4602,-67.6923
