bin,n,favorite_roi,underdog_roi
0,42,-7.7386,66.119
1,385,-3.4043,-8.1922
2,729,-2.4591,-9.1248
3,1081,-2.5512,-6.445
4,1279,0.0761,-9.6998
5,1456,-7.2408,-0.004
6,1652,-3.1317,-5.9582
7,1492,-2.6164,-7.7674
8,1262,-4.2382,-2.7472
9,372,-2.4573,-21.7661
