bin,n,favorite_roi,underdog_roi
0,1,4.0,-100.0
1,23,-10.783,34.5652
2,57,-1.4197,-13.7368
3,65,-8.8831,3.7846
4,66,-4.7793,-2.8586
5,110,-16.9843,11.4992
6,97,3.0751,-19.6186
7,87,3.1898,-28.5632
8,89,-8.1788,24.3371
9,19,-0.8951,-25.0
