bin,n,favorite_roi,underdog_roi
0,12,-17.8989,11.9103
1,11,11.8328,-37.9091
2,14,15.2936,-25.4979
3,33,-19.9083,18.5477
4,42,-30.0797,9.9347
5,53,2.0878,2.5796
6,25,-15.1345,12.48
7,9,19.6857,-72.0
8,8,61.2613,-72.125
9,15,-5.0618,27.1929
