bin,n,favorite_roi,underdog_roi
0,17,5.942,9.348
1,9,-48.4441,73.4281
2,20,15.9828,-41.7558
3,37,0.1172,-21.5977
4,39,-13.8604,-9.9095
5,49,-15.4236,22.2601
6,32,-16.9561,18.1804
7,19,-27.1033,33.5789
8,6,17.002,-45.8333
9,10,35.4072,-100.0
