bin,n,favorite_roi,underdog_roi
0,14,2.0654,-22.4286
1,14,-19.2024,15.6318
2,9,14.1315,-37.4074
3,24,-9.783,0.2768
4,52,-0.3566,-10.5707
5,47,-1.8129,0.498
6,30,-15.6954,1.3664
7,12,0.42,-39.5
8,12,56.0157,-100.0
9,12,-3.3336,-21.5
