bin,n,favorite_roi,underdog_roi
0,41,-8.9153,-0.9709
1,22,-15.8183,12.087
2,89,-8.9418,-0.7473
3,352,-4.4579,-1.6376
4,701,-6.9186,-2.3294
5,703,-6.7929,-1.3078
6,376,-1.1926,-7.8928
7,74,-20.294,28.5038
8,17,-18.8807,21.3529
9,32,0.8031,-12.3636
