bin,n,favorite_roi,underdog_roi
0,80,0.3706,9.575
1,54,-5.4052,-18.2359
2,46,-0.9727,-20.3835
3,110,-0.5522,-13.9348
4,310,5.6866,-11.3568
5,333,-3.7228,-5.8979
6,97,-13.617,6.77
7,55,-9.6344,13.491
8,49,-14.1212,7.3666
9,79,-10.7343,15.0104
