bin,n,favorite_roi,underdog_roi
0,93,1.3452,-15.5142
1,63,-7.3301,11.343
2,104,-8.3139,1.9471
3,371,7.2346,-10.316
4,563,1.0059,-3.8925
5,587,-9.3957,2.6549
6,317,8.0121,-16.2491
7,127,-6.4453,-1.6684
8,62,5.9879,-18.7689
9,108,-6.7507,0.1848
