bin,n,favorite_roi,underdog_roi
0,48,-7.8662,1.7742
1,20,-22.8916,23.1074
2,16,18.7439,-36.049
3,17,-14.9188,-14.2295
4,16,-35.2659,39.0994
5,17,-18.4654,3.164
6,19,11.745,-17.8348
7,20,-1.5142,-5.7381
8,20,9.0545,-62.6911
9,49,-10.629,-8.5249
