bin,n,favorite_roi,underdog_roi
0,800,-4.8248,0.1487
1,346,-2.176,-10.7928
2,294,1.7389,-13.4287
3,275,-2.0761,-12.0826
4,340,-6.0552,-1.7638
5,280,-10.8727,3.3864
6,288,-2.5397,-6.1739
7,295,-5.3243,-8.2537
8,329,1.5418,-18.1979
9,747,-4.5795,-9.874
