bin,n,favorite_roi,underdog_roi
0,2,6.498,-100.000
1,62,-1.161,-12.484
2,183,3.469,-22.055
3,269,-0.241,-10.290
4,277,4.533,-14.869
5,343,-0.410,-6.285
6,400,-3.600,-1.815
7,385,-0.950,-13.470
8,188,-2.765,-8.825
9,15,-0.468,-20.000
