bin,n,favorite_roi,underdog_roi
0,0,,
1,0,,
2,92,-4.1792,-5.0
3,1565,-4.7967,-5.7962
4,5397,-6.0624,-4.9809
5,7234,-4.7416,-6.409
6,4360,-4.9779,-5.8681
7,650,-2.4981,-11.6969
8,3,-22.3311,66.6667
9,0,,
