bin,n,favorite_roi,underdog_roi
0,0,,
1,0,,
2,127,1.754,-18.850
3,751,-5.264,-1.736
4,2277,-3.123,-7.532
5,3362,-6.344,-3.447
6,2337,-3.867,-6.894
7,596,-0.395,-15.666
8,28,-11.762,26.714
9,0,,
