bin,n,favorite_roi,underdog_roi
0,0,,
1,0,,
2,98,-1.096,-9.143
3,1576,-4.648,-4.011
4,5401,-5.433,-4.202
5,7167,-3.875,-6.111
6,4377,-4.827,-4.452
7,679,-1.832,-9.772
8,3,-22.331,66.667
9,0,,
