bin,n,favorite_roi,underdog_roi
0,2,6.4984,-100.0
1,62,-1.1609,-12.4839
2,183,3.4687,-22.0546
3,269,-0.2408,-10.29
4,277,4.5327,-14.869
5,343,-0.4101,-6.2853
6,400,-3.6003,-1.815
7,385,-0.9498,-13.4701
8,188,-2.7653,-8.8245
9,15,-0.4679,-20.0
