bin,n,favorite_roi,underdog_roi
0,40,-8.701,59.400
1,378,-3.642,-10.336
2,733,-3.176,-9.895
3,1058,-2.329,-8.832
4,1295,-1.869,-9.063
5,1475,-7.356,-1.778
6,1621,-3.867,-7.292
7,1508,-4.031,-6.366
8,1242,-4.237,-5.983
9,345,-2.245,-32.197
