season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.23899303431900315,0.24469498664441425,0.2477155717161674,0.25
2010,0.24083303643619633,0.24870961119540946,0.24661167574776774,0.25
2011,0.2391231208721729,0.24369064533546647,0.24922109494980102,0.25
2012,0.23881355063341272,0.24235472199263675,0.24857774561141838,0.25
2013,0.23856583695354788,0.24323219165487467,0.24987295434969856,0.25
2014,0.2387206117475178,0.24687149420738572,0.24907643051296735,0.25
2015,0.23874844324960415,0.24462204375360702,0.24807952916165932,0.25
2016,0.24325658836433808,0.25157904325800956,0.24886169720151877,0.25
2017,0.23990636995839593,0.2463143489927661,0.2492145519100511,0.25
2018,0.23522509500956526,0.2419192305318838,0.24915862201449965,0.25
2019,0.2315686593590248,0.23578249076188756,0.24900265378425948,0.25
2020,0.23954990321532643,0.25488146897673375,0.24663241528721463,0.25
2021,0.23668426359846914,0.2397080856637085,0.250752802707238,0.25
2022,0.23464583631628325,0.2413665454253716,0.24861606866723504,0.25
2023,0.2424287764323652,0.2459002742403078,0.24965101393685576,0.25
2024,0.24186387396400205,0.2477665643744443,0.25042777621838347,0.25
2025,0.24528847584438573,0.24980719354024142,0.2485486804213606,0.25
