season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.2326385455509465,0.2595083682035401,0.2454774442566107,0.25
2010,0.24134101077007591,0.2552280740093492,0.24451233970316572,0.25
2011,0.23974808136440715,0.24844417301038577,0.25031061767359675,0.25
2012,0.2420906028786031,0.25429272534335634,0.2476224276409749,0.25
2013,0.23581248247673645,0.24467050721128097,0.24593521066821858,0.25
2014,0.24487195740294956,0.24996592819087837,0.2493911137827021,0.25
2015,0.2379436580368966,0.24456106196330407,0.2509735770270851,0.25
2016,0.24007346849255795,0.24833442064270148,0.25008693903732965,0.25
2017,0.23677763064730764,0.24789850389568482,0.24879996562014453,0.25
2018,0.2344191107517267,0.24228776249367132,0.24798988991090623,0.25
2019,0.23809804679731805,0.24530787536598567,0.2488109400865761,0.25
2020,0.2409707066809862,0.24990707077736435,0.24998260873708178,0.25
2021,0.23081426693181978,0.23908502388845096,0.2485228319670873,0.25
2022,0.22820586644335125,0.23315235582114285,0.2506364522062712,0.25
2023,0.22617919148197557,0.23044273978180366,0.24971602320983238,0.25
2024,0.22786485374222376,0.23533396274913812,0.24763990246784595,0.25
2025,0.23015109895739,0.24374457518376227,0.24447806896261515,0.25
