season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.1951448518131001,0.2298344394488054,0.25846684753460136,0.25
2010,0.1959921381290771,0.26744409748745407,0.2450573979591837,0.25
2011,0.20691922738948362,0.24131371005883076,0.24952168367346939,0.25
2012,0.20265233398960458,0.24074874927402767,0.2519980508711017,0.25
2013,0.1991584682268435,0.2320048157670741,0.246500868001736,0.25
2014,0.2106427940788556,0.27466622505363786,0.2458256479012958,0.25
2015,0.2043250439058505,0.23131196277132407,0.24971034317068633,0.25
2016,0.24158738023676699,0.2663275235648861,0.26030535782001796,0.25
2017,0.21209566500832014,0.2184217223519366,0.24442530001210167,0.25
2018,0.1812800197812704,0.23478382287133923,0.2441540852073952,0.25
2019,0.2155442828690146,0.2815276231552057,0.23937828571428574,0.25
2020,0.2157007644940973,0.26560660086723775,0.2513723464566929,0.25
2021,0.20159666075101243,0.23187077423412716,0.25050859476718956,0.25
2022,0.20927452944515418,0.2570319100863243,0.25265711244771166,0.25
2023,0.19030360065196683,0.24965840556987612,0.24460324943979742,0.25
2024,0.21983923672972708,0.26240686676552755,0.24644669129900276,0.25
2025,0.1786937498742623,0.20290962433423804,0.2492311184199979,0.25
