season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2008,0.24003751013535324,0.24429030690929843,0.24853576219532786,0.25
2009,0.23869976340035268,0.2445195908851617,0.24759888267371805,0.25
2010,0.24099824131607947,0.24878768548865196,0.24679327146571167,0.25
2011,0.2386877379016102,0.24362327981730353,0.24916649972889102,0.25
2012,0.23821739006790782,0.24216503754596472,0.24857313573918116,0.25
2013,0.2387746079768714,0.24349725612358747,0.2498795844094298,0.25
2014,0.23803696235105123,0.24796428341770435,0.2490492452701318,0.25
2015,0.23863555352550622,0.24540362847309005,0.24816745133590254,0.25
2016,0.2420417003809919,0.250902828350501,0.24877546175192472,0.25
2017,0.23948297005335498,0.24679220201965377,0.24900663335222947,0.25
2018,0.2356681570236227,0.24257183046461916,0.2490614600037358,0.25
2019,0.23239554701783957,0.23594965319246414,0.24904090952459726,0.25
2020,0.2402454749072277,0.25375675661756086,0.24687825182101977,0.25
2021,0.23732521608719193,0.24054021403180578,0.2508894198017364,0.25
2022,0.2341580370223689,0.24130795086824863,0.24863847770915704,0.25
2023,0.24215848976331691,0.24584471794800006,0.24958936657426697,0.25
2024,0.241697032877416,0.247948329795815,0.2504023588238021,0.25
2025,0.24547239060510845,0.2501058055932711,0.2484278595158994,0.25
