bin,n,favorite_roi,underdog_roi
0,0,,
1,0,,
2,0,,
3,9,20.8794,-40.6667
4,85,-6.6905,-0.32
5,172,3.1422,-14.3837
6,85,2.6301,-15.7529
7,7,-4.2115,-6.5714
8,0,,
9,0,,
