bin,n,favorite_roi,underdog_roi
0,0,,
1,2,18.9928,-100.0
2,9,1.0094,-26.5556
3,11,34.1911,-77.8182
4,20,7.3018,-16.333
5,22,34.8739,-52.4479
6,27,15.6774,-39.1481
7,25,-17.2813,48.76
8,12,-14.582,27.9167
9,0,,
