bin,n,favorite_roi,underdog_roi
0,99,6.518,-15.6129
1,90,-11.8129,7.5231
2,149,-2.5683,-8.1321
3,292,0.8179,-13.5691
4,559,-0.5291,-10.5939
5,544,-9.9414,0.5542
6,275,-2.3336,-9.4383
7,148,-1.5088,-7.6264
8,81,-3.9595,-0.1958
9,104,5.0825,-24.323
