bin,n,favorite_roi,underdog_roi
0,1883,-3.4555,-5.9749
1,1145,-7.7741,0.4681
2,2525,-2.8833,-5.924
3,5371,-4.7881,-3.6846
4,9184,-3.6487,-4.7284
5,9146,-3.6705,-4.7196
6,5435,-3.4754,-5.2462
7,2595,-3.8406,-5.1699
8,1089,-3.7617,-3.6793
9,1853,1.3014,-12.6994
