season,n,favorite_roi,underdog_roi
2009,24,-20.694953525650458,25.5
2010,16,1.42170961284487,-17.1875
2011,33,-20.806658375671784,23.575757575757578
2012,23,-9.274795523090015,8.043478260869566
2013,28,-1.0204779246186537,-16.178571428571427
2014,27,15.677423174141344,-39.148148148148145
2015,21,-8.276976740314653,7.333333333333332
2016,27,-39.80699059909189,63.703703703703695
2017,35,-1.4199661680176812,-3.4571428571428586
2018,22,19.272404590807195,-49.40909090909091
2019,30,-11.168230248974963,5.799999999999999
2020,24,9.594226212982655,-33.16666666666667
2021,17,-20.463522638743946,30.588235294117645
2022,16,-14.361303361240804,14.75
2023,34,-12.375843481012128,10.647058823529413
2024,30,15.45211481723954,-32.599999999999994
2025,22,21.322233678463395,-50.63636363636363
