season,favorite_roi,underdog_roi
2009,-0.07241516497983383,0.0916
2010,-0.15210260490639943,0.35133333333333333
2011,-0.39165891952343623,0.9646153846153845
2012,-0.09153902610509022,0.028000000000000004
2013,-0.054495355149537156,-0.05090909090909091
2014,0.12000203817919684,-0.5593333333333333
2015,-0.14283843647494382,0.23714285714285716
2016,0.03727702348538326,-0.17666666666666667
2017,-0.016664326463860204,-0.013333333333333345
2018,-0.06378050933101394,0.19904761904761903
2019,-0.17939998487184353,0.35294117647058826
2020,0.22505663025526493,-0.8185
2021,0.11315638160662675,-0.4828571428571428
2022,0.1434250774081474,-0.5315384615384615
2023,0.00658857233945797,-0.16722222222222222
2024,-0.15935416878597936,0.2866666666666667
2025,0.026573045998975215,-0.19956521739130434
