season,n,favorite_roi,underdog_roi
2009,23,-10.272537313380855,3.797805375287324
2010,16,-4.5515856575492855,-5.312499999999999
2011,20,23.796004065605345,-34.449999999999996
2012,25,-45.67037524884068,44.622952283869715
2013,19,-26.028699638272073,24.719186979657803
2014,22,34.87393267486145,-52.44785517512791
2015,21,-26.258308330706946,23.970420872751617
2016,25,-1.4713189740118624,-7.22601905473566
2017,30,22.21202491737612,-34.54189602446483
2018,22,10.275910470497998,-25.982581638544943
2019,13,16.91505496749239,-33.23076923076923
2020,11,-7.7988915928003735,-5.718429124465843
2021,20,13.703918129090098,-22.000000000000004
2022,17,-8.83832168468149,3.7787114845938383
2023,27,2.512092434941597,-9.962962962962962
2024,27,14.51079481697459,-25.718792866941016
2025,20,-13.48081599412994,11.55
