season,favorite_roi,underdog_roi
2009,-0.08792942973012043,0.009047619047619023
2010,-0.006215659128233211,-0.185
2011,0.17656034111801566,-0.4886111111111111
2012,0.17558844545537458,-0.45039999999999997
2013,-0.17368766465292748,0.151025641025641
2014,0.026664256531938036,-0.15
2015,0.06836914966365093,-0.1993548387096774
2016,-0.08070469658157149,0.02580645161290322
2017,-0.2198214630665057,0.2578260869565217
2018,-0.06673907464326903,0.047187499999999986
2019,-0.05816021668712268,-0.025666666666666674
2020,-0.08260283288139805,0.007142857142857143
2021,-0.06314568740057912,-0.03342857142857143
2022,-0.1529722598089241,0.16162162162162164
2023,-0.1297655645027097,0.12894736842105262
2024,0.02917779224910011,-0.11516129032258066
2025,0.14227421639343713,-0.39125
