season,n,favorite_roi,underdog_roi
2009,11,5.202596852792169,-26.27272727272727
2010,17,-5.759860988140322,-4.529411764705882
2011,19,29.75732314070825,-72.94736842105263
2012,10,5.847395455310198,-16.9
2013,21,-14.88402051627326,14.71428571428571
2014,11,34.19105151503334,-77.81818181818181
2015,14,17.021771521891765,-43.57142857142857
2016,15,20.56323474438449,-49.26666666666667
2017,10,-11.08290207255442,7.5
2018,17,-13.827085264469558,15.0
2019,18,-10.07506218943016,3.4444444444444438
2020,23,-23.26294669471465,29.304347826086957
2021,18,-7.613492645978387,0.11111111111111122
2022,17,-20.615956145227944,25.529411764705884
2023,15,-18.70211355505473,22.8
2024,16,-23.872828451917687,38.5
2025,23,-5.34889864107742,-5.91304347826087
