season,favorite_roi,underdog_roi
2009,0.07368602400081121,-0.21225202125202128
2010,-0.09202318675161102,-0.03374769272959318
2011,-0.05790861211168615,-0.06709634557575891
2012,-0.11987319359298894,0.04648934730514298
2013,-0.049662408203714876,-0.053650896229723355
2014,-0.05164253703975677,-0.015217668950472286
2015,0.035200472540345314,-0.10481114778144482
2016,-0.037273744362492485,-0.046475035493481025
2017,3.9134231940191406e-05,-0.08929273263275672
2018,0.04331961600714949,-0.15238045685484522
2019,-0.2428657975665799,0.21148933020428556
2020,-0.18345079605042797,0.12623757485577686
2021,-0.00374004194686889,-0.11684997908344949
2022,0.009782231375292867,-0.09533170533170532
2023,0.0457158128801214,-0.1493836647348926
2024,0.07654676778462828,-0.16836923076923074
2025,0.18976009121250637,-0.351954229537517
