bin,n,favorite_roi,underdog_roi
0,77,-9.0895,-14.6564
1,116,-5.9797,-3.0183
2,125,0.7995,-15.681
3,140,-10.4986,-1.088
4,147,-0.7929,-4.546
5,156,-18.9193,14.9371
6,129,-11.023,7.0154
7,122,-5.9728,-7.9566
8,106,-4.8024,0.4442
9,85,-1.1897,-33.7022
