date,season,second_half,home_team,away_team,result,home_ml,away_ml,bookmaker_profit,ml_prob,bt_prob,game_url
2009-11-23,2010,0,dal,car,1,-194,161,0.0430057080303385,0.6326561211485119,0.8159278329778167,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/dallas-stars-carolina-hurricanes-UJBxnQV2/
2009-11-23,2010,0,stl,bos,0,-114,-111,0.0587766310847321,0.5031375502008032,0.4552275432574713,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/st-louis-blues-boston-bruins-CbanNtg2/
2009-11-23,2010,0,fla,pit,0,105,-127,0.0472762436875471,0.4657843439006873,0.3447641143459914,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/florida-panthers-pittsburgh-penguins-GW5wP2Ok/
2009-11-23,2010,0,ott,wsh,1,-120,-103,0.0528437080161219,0.5180774138664397,0.5127087755284245,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/ottawa-senators-washington-capitals-beerOMwd/
2009-11-23,2010,0,nsh,det,1,-116,-105,0.0492321589882567,0.5118381403357727,0.5803548954100869,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/nashville-predators-detroit-red-wings-Kn58UO0S/
2009-11-23,2010,0,nyr,cbj,1,-139,116,0.0445529211219588,0.5567836213930717,0.4553916534429451,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/new-york-rangers-columbus-blue-jackets-xvrdV4oM/
2009-11-23,2010,0,tor,nyi,0,-142,117,0.0476063525916898,0.5601119714981642,0.3347309075431923,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/toronto-maple-leafs-new-york-islanders-xt7ZPr9q/
2009-11-22,2010,0,van,chi,0,-132,109,0.0474344167629103,0.5431991809088762,0.3385586453145519,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/vancouver-canucks-chicago-blackhawks-fFhiWpWF/
2009-11-22,2010,0,wpg,tb,0,-157,127,0.0514235759954746,0.5810169712580904,0.6486911766615613,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/winnipeg-jets-tampa-bay-lightning-tClmXQG9/
2009-11-21,2010,0,ana,sj,0,107,-130,0.0483091787439613,0.4608294930875576,0.2144539798868059,https://www.oddsportal.com/hockey/usa/nhl-2009-2010/anaheim-ducks-san-jose-sharks-8bjuZnnc/
