season,n,favorite_roi,underdog_roi
2009,25,-3.076,-11.480
2010,76,-10.771,12.197
2011,83,-12.491,11.181
2012,75,-11.275,3.629
2013,76,2.000,-32.050
2014,77,-13.805,11.895
2015,92,4.474,-14.384
2016,90,1.235,-2.245
2017,90,-11.115,19.266
2018,91,1.756,-33.265
2019,99,-6.195,9.334
2020,58,7.832,-9.726
2021,93,6.427,-17.919
2022,78,-15.565,19.203
2023,81,1.191,7.381
2024,75,-18.918,19.054
2025,68,2.224,-15.926
